,questionFrontendId,title,difficulty,likes,dislikes,similarQuestions
199,200,Number of Islands,Medium,9956,269,"[{""title"": ""Surrounded Regions"", ""titleSlug"": ""surrounded-regions"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Walls and Gates"", ""titleSlug"": ""walls-and-gates"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Number of Islands II"", ""titleSlug"": ""number-of-islands-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Number of Connected Components in an Undirected Graph"", ""titleSlug"": ""number-of-connected-components-in-an-undirected-graph"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Number of Distinct Islands"", ""titleSlug"": ""number-of-distinct-islands"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Max Area of Island"", ""titleSlug"": ""max-area-of-island"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Count Sub Islands"", ""titleSlug"": ""count-sub-islands"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find All Groups of Farmland"", ""titleSlug"": ""find-all-groups-of-farmland"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
145,146,LRU Cache,Medium,9888,391,"[{""title"": ""LFU Cache"", ""titleSlug"": ""lfu-cache"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Design In-Memory File System"", ""titleSlug"": ""design-in-memory-file-system"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Design Compressed String Iterator"", ""titleSlug"": ""design-compressed-string-iterator"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Design Most Recently Used Queue"", ""titleSlug"": ""design-most-recently-used-queue"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
32,33,Search in Rotated Sorted Array,Medium,9595,741,"[{""title"": ""Search in Rotated Sorted Array II"", ""titleSlug"": ""search-in-rotated-sorted-array-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find Minimum in Rotated Sorted Array"", ""titleSlug"": ""find-minimum-in-rotated-sorted-array"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
21,22,Generate Parentheses,Medium,9547,383,"[{""title"": ""Letter Combinations of a Phone Number"", ""titleSlug"": ""letter-combinations-of-a-phone-number"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Valid Parentheses"", ""titleSlug"": ""valid-parentheses"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
286,287,Find the Duplicate Number,Medium,9201,949,"[{""title"": ""First Missing Positive"", ""titleSlug"": ""first-missing-positive"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Single Number"", ""titleSlug"": ""single-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Linked List Cycle II"", ""titleSlug"": ""linked-list-cycle-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Missing Number"", ""titleSlug"": ""missing-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Set Mismatch"", ""titleSlug"": ""set-mismatch"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
55,56,Merge Intervals,Medium,9166,425,"[{""title"": ""Insert Interval"", ""titleSlug"": ""insert-interval"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Meeting Rooms"", ""titleSlug"": ""meeting-rooms"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Meeting Rooms II"", ""titleSlug"": ""meeting-rooms-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Teemo Attacking"", ""titleSlug"": ""teemo-attacking"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Add Bold Tag in String"", ""titleSlug"": ""add-bold-tag-in-string"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Range Module"", ""titleSlug"": ""range-module"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Employee Free Time"", ""titleSlug"": ""employee-free-time"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Partition Labels"", ""titleSlug"": ""partition-labels"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Interval List Intersections"", ""titleSlug"": ""interval-list-intersections"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
19,20,Valid Parentheses,Easy,8825,350,"[{""title"": ""Generate Parentheses"", ""titleSlug"": ""generate-parentheses"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Longest Valid Parentheses"", ""titleSlug"": ""longest-valid-parentheses"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Remove Invalid Parentheses"", ""titleSlug"": ""remove-invalid-parentheses"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Check If Word Is Valid After Substitutions"", ""titleSlug"": ""check-if-word-is-valid-after-substitutions"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
559,560,Subarray Sum Equals K,Medium,8806,298,"[{""title"": ""Two Sum"", ""titleSlug"": ""two-sum"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Continuous Subarray Sum"", ""titleSlug"": ""continuous-subarray-sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Subarray Product Less Than K"", ""titleSlug"": ""subarray-product-less-than-k"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find Pivot Index"", ""titleSlug"": ""find-pivot-index"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Subarray Sums Divisible by K"", ""titleSlug"": ""subarray-sums-divisible-by-k"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Minimum Operations to Reduce X to Zero"", ""titleSlug"": ""minimum-operations-to-reduce-x-to-zero"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
299,300,Longest Increasing Subsequence,Medium,8742,183,"[{""title"": ""Increasing Triplet Subsequence"", ""titleSlug"": ""increasing-triplet-subsequence"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Russian Doll Envelopes"", ""titleSlug"": ""russian-doll-envelopes"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Maximum Length of Pair Chain"", ""titleSlug"": ""maximum-length-of-pair-chain"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Number of Longest Increasing Subsequence"", ""titleSlug"": ""number-of-longest-increasing-subsequence"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Minimum ASCII Delete Sum for Two Strings"", ""titleSlug"": ""minimum-ascii-delete-sum-for-two-strings"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Minimum Number of Removals to Make Mountain Array"", ""titleSlug"": ""minimum-number-of-removals-to-make-mountain-array"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Find the Longest Valid Obstacle Course at Each Position"", ""titleSlug"": ""find-the-longest-valid-obstacle-course-at-each-position"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
237,238,Product of Array Except Self,Medium,8685,598,"[{""title"": ""Trapping Rain Water"", ""titleSlug"": ""trapping-rain-water"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Maximum Product Subarray"", ""titleSlug"": ""maximum-product-subarray"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Paint House II"", ""titleSlug"": ""paint-house-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
